epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1472.41,0.56461,0.29405,0.84641,0.78455,0.7297,0.801,0.64663,0.94067,0.74458,0.99815,0.0149982,0.00499941,0.0149982,0.00499941,0.0149982,0.00499941,0.0149982,0.00499941
2,2729.85,0.59718,0.33042,0.855,0.79029,0.71422,0.78758,0.63006,0.92777,0.73964,0.98573,0.0280184,0.00933945,0.0280184,0.00933945,0.0280184,0.00933945,0.0280184,0.00933945
3,3920.16,0.60065,0.33031,0.8565,0.82812,0.70283,0.79738,0.639,0.92715,0.70175,0.99288,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
4,5127.9,0.5896,0.3155,0.85206,0.81732,0.73658,0.81236,0.65403,0.93077,0.72563,0.99029,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
5,6338.78,0.58168,0.30693,0.85117,0.81414,0.72012,0.80902,0.65671,0.9294,0.7088,0.9946,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
6,7563.15,0.56984,0.28935,0.84239,0.81124,0.75272,0.81757,0.65888,0.92628,0.72067,0.98733,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
7,8780.28,0.56036,0.28129,0.83785,0.83752,0.74824,0.82353,0.6698,0.91954,0.68886,0.98131,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
8,10004.7,0.5517,0.2747,0.83584,0.82945,0.74519,0.82292,0.67096,0.91799,0.68616,0.98616,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
9,11252.8,0.54445,0.26761,0.83391,0.85721,0.73146,0.82595,0.66972,0.92009,0.68533,0.98931,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
10,12511.6,0.53545,0.26059,0.83183,0.83164,0.7418,0.82609,0.67167,0.91837,0.69294,0.98934,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
11,13729.1,0.52761,0.25466,0.83034,0.82476,0.75233,0.82548,0.67197,0.92191,0.70351,0.99509,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
12,14802.6,0.51949,0.24857,0.82605,0.81347,0.75857,0.8244,0.66971,0.92288,0.69821,0.99358,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
13,15861.2,0.51044,0.24123,0.82507,0.81752,0.75179,0.82256,0.66802,0.92281,0.70548,0.99422,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
14,16919.9,0.50103,0.2341,0.82342,0.81753,0.75105,0.82049,0.6672,0.92318,0.71038,0.99545,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
15,18144.3,0.49197,0.22657,0.82069,0.81222,0.75157,0.82008,0.66668,0.92338,0.71124,0.99627,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
